title,start_date,end_date,milestone,labels,assignees,content
Global_attributes,2025-05-22,2025-06-05,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,DataModeler","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed  
- [ ] Awaiting feedback

## Details
DataModeler task - 95% complete"
variableRootDD,2025-05-29,2025-06-12,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,DR","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
DR responsibility"
horizontalLabelDD,2025-05-29,2025-06-12,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,KarlDocument","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Karl's document"
verticalDD,2025-05-29,2025-06-12,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,KarlDocument","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Karl's document"
temporalLabelDD,2025-05-29,2025-06-12,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,KarlDocument","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Karl's document"
area_labelDD,2025-05-29,2025-06-12,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,KarlDocument","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Karl's document"
brandingSuffixDD,2025-05-29,2025-06-12,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,KarlDocument","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Karl's document"
reportingIntervalDD,2025-06-05,2025-06-19,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,OldCV","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Old CV (CMIP6)"
dataRegionDD,2025-06-05,2025-06-19,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,OldCV","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Old CV (CMIP6) + GitHub issue #194"
gridLabelDD,2025-06-05,2025-06-19,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,OldCV","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
Source: Old CV"
sourceDD,2025-06-12,2025-06-26,"EMD, GlobalAttribute","EMD,GlobalAttribute,CVsTT","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
EMD responsibility"
experimentDD,2025-06-19,2025-07-03,"DRS, GlobalAttribute","DRS,GlobalAttribute,CVsTT,DR","CVsTT","# Global Attribute Review

## Status
- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

## Details
DR responsibility"
