title,start_date,end_date,milestone,labels,assignees,content
Global_attributes,2025-05-22,2025-06-05,DRS,"DRS,variables,CVsTT,DataModeler","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed  
- [ ] Awaiting feedback

DataModeler task - 95% complete"
variableRootDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,DR","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

DR responsibility"
horizontalLabelDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,KarlDocument","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Karl's document"
verticalDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,KarlDocument","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Karl's document"
temporalLabelDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,KarlDocument","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Karl's document"
area_labelDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,KarlDocument","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Karl's document"
brandingSuffixDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,KarlDocument","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Karl's document"
reportingIntervalDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV (CMIP6)"
dataRegionDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV (CMIP6) + GitHub issue #194"
gridLabelDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV"
sourceDD,2025-06-12,2025-06-26,EMD,"EMD,variables,CVsTT","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

EMD responsibility"
experimentDD,2025-06-19,2025-07-03,DRS,"DRS,variables,CVsTT,DR","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

DR responsibility"
variantLabelDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV + adding sub_experiment"
time-range,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV"
drsSpecsDD,2025-06-25,2025-07-10,DRS,"DRS,variables,CVsTT,New","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

New specification"
activityDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,DR","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

DR responsibility"
datasetVersionDD,2025-05-29,2025-06-12,DRS,"DRS,variables,CVsTT","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Not yet determined if needed"
realizationDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV"
initializationDD,2025-06-05,2025-06-19,DRS,"DRS,variables,CVsTT,OldCV","CVsTT-all","Variable Review Task

- [ ] Started
- [ ] Discussed
- [ ] Awaiting feedback

Source: Old CV (need sub_experiment addition)"
